safe_length,p_success,method,n,matched_sweeps,success_rate,risky_action_rate,regret,long_horizon_mse
16,0.02,MC positive,5,,0.018,1.000,0.705,0.02257
16,0.02,MC all goals,5,,1.000,0.000,0.000,0.00313
16,0.02,Bellman matched,5,5,0.018,1.000,0.705,0.63138
16,0.02,Stochastic TRL,5,5,1.000,0.000,0.000,0.00000
16,0.02,Bellman full,5,,1.000,0.000,0.000,0.00000
16,0.05,MC positive,5,,0.045,1.000,0.676,0.02142
16,0.05,MC all goals,5,,1.000,0.000,0.000,0.00315
16,0.05,Bellman matched,5,5,0.045,1.000,0.676,0.63137
16,0.05,Stochastic TRL,5,5,1.000,0.000,0.000,0.00000
16,0.05,Bellman full,5,,1.000,0.000,0.000,0.00000
32,0.02,MC positive,5,,0.021,1.000,0.505,0.01725
32,0.02,MC all goals,5,,1.000,0.000,0.000,0.01448
32,0.02,Bellman matched,5,6,0.021,1.000,0.505,0.53627
32,0.02,Stochastic TRL,5,6,1.000,0.000,0.000,0.00000
32,0.02,Bellman full,5,,1.000,0.000,0.000,0.00000
32,0.05,MC positive,5,,0.047,1.000,0.476,0.01709
32,0.05,MC all goals,5,,1.000,0.000,0.000,0.01448
32,0.05,Bellman matched,5,6,0.047,1.000,0.476,0.53627
32,0.05,Stochastic TRL,5,6,1.000,0.000,0.000,0.00000
32,0.05,Bellman full,5,,1.000,0.000,0.000,0.00000
64,0.02,MC positive,5,,0.023,1.000,0.255,0.01783
64,0.02,MC all goals,5,,1.000,0.000,0.000,0.01728
64,0.02,Bellman matched,5,7,0.023,1.000,0.255,0.36361
64,0.02,Stochastic TRL,5,7,1.000,0.000,0.000,0.00000
64,0.02,Bellman full,5,,1.000,0.000,0.000,0.00000
64,0.05,MC positive,5,,0.054,1.000,0.226,0.01784
64,0.05,MC all goals,5,,1.000,0.000,0.000,0.01729
64,0.05,Bellman matched,5,7,0.054,1.000,0.226,0.36361
64,0.05,Stochastic TRL,5,7,1.000,0.000,0.000,0.00000
64,0.05,Bellman full,5,,1.000,0.000,0.000,0.00000
128,0.02,MC positive,5,,0.020,1.000,0.056,0.00957
128,0.02,MC all goals,5,,0.200,0.000,0.060,0.00945
128,0.02,Bellman matched,5,8,0.020,1.000,0.056,0.21682
128,0.02,Stochastic TRL,5,8,1.000,0.000,0.000,0.00000
128,0.02,Bellman full,5,,1.000,0.000,0.000,0.00000
128,0.05,MC positive,5,,0.043,1.000,0.027,0.00957
128,0.05,MC all goals,5,,0.200,0.000,0.060,0.00945
128,0.05,Bellman matched,5,8,0.043,1.000,0.027,0.21682
128,0.05,Stochastic TRL,5,8,1.000,0.000,0.000,0.00000
128,0.05,Bellman full,5,,1.000,0.000,0.000,0.00000
