action_scale,env,episodes_per_task,gamma,iters,method,n_actions,n_states,overall_success,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids,topology_source
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,bellman_matched,4,45,0.38,0,0.0,0.5,0.6,0.4,0.4,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,sto_trl_matched,4,45,0.9800000000000001,0,0.9,1.0,1.0,1.0,1.0,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,180,bellman_full,4,45,0.9800000000000001,0,0.9,1.0,1.0,1.0,1.0,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,bellman_matched,4,45,0.2,1,0.0,0.4,0.4,0.1,0.1,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,sto_trl_matched,4,45,0.8800000000000001,1,0.9,0.9,0.8,0.8,1.0,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,180,bellman_full,4,45,0.8800000000000001,1,0.9,0.9,0.8,0.8,1.0,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,bellman_matched,4,45,0.26000000000000006,2,0.0,0.4,0.2,0.6,0.1,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,sto_trl_matched,4,45,0.9400000000000001,2,0.9,0.9,1.0,1.0,0.9,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,180,bellman_full,4,45,0.9400000000000001,2,0.9,0.9,1.0,1.0,0.9,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,bellman_matched,4,45,0.36,3,0.0,0.2,0.6,0.7,0.3,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,sto_trl_matched,4,45,0.86,3,0.8,0.7,1.0,0.9,0.9,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,180,bellman_full,4,45,0.86,3,0.8,0.7,1.0,0.9,0.9,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,bellman_matched,4,45,0.32,4,0.0,0.3,0.4,0.5,0.4,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,6,sto_trl_matched,4,45,0.9199999999999999,4,1.0,1.0,0.8,0.9,0.9,all,dataset
0.2,pointmaze-teleport-navigate-v0,10,0.995,180,bellman_full,4,45,0.9199999999999999,4,1.0,1.0,0.8,0.9,0.9,all,dataset
